,0
0,725f387569f049f497c2d53adebc1443
1,75ab3d5587f04c529c01c02005e6a3ed
2,30d2e6e486194dd1964bc0a718c23d7f
3,7ad3a5891a4248c58db17b1c21dfbfa4
4,821543fa60ef4514a6d80f0dcb0d9647
5,d80895d493d246e1bacdf13825375653
6,091e2d90ca9c439682aefb462cbee9bd
7,924004a370554fc9996b5ade6d7cdfc5
8,143517e9e0e6493e9532eb1b15b2321c
9,7e61b492562a44d7afd24ed778999085
10,e79f3e233bbd4568bc455bbae083d9c9
11,37bd6f0d930442e1b0da2b156514825f
12,8b87c946e96b4582bddabe853f031591
13,49e92d55729e4d24a214942f4296dfbb
14,ba66ddec60654d5cae5c9bc6a8e2e51a
15,d597c17638c84c82b14c42aaa9e145ff
16,67c9b9c2388e4c5089d7dcf89cec92aa
17,80f5840ec2534cb59549851402d25fc3
18,ccaea8a690554c418ae91ee513728b0b
19,99569cd664604c109bf512938b72c0f3
20,108fc3000cce4dff99ce1c1c6d1d64a0
21,9ab8b0c0d9ec48679e514b7bb9bbfa4b
22,283c80f1a2cf44b09f585e562b426e01
23,4a307e5daf274aaab1d7ea29739a4d21
24,4b06929c09b846ae93711a035c0bfd56
25,ce78ec175912477fabb4fbf677d0a3cd
26,14daef45a49e4874b712d03e20e93cd5
27,f939c30c8015467097ee7a9384d8f50a
28,77d6c1f25a964b579422f4afb5db0965
29,52e0a83d516241d8b2fa3a733769d9ed
30,225ead96445a46f18633b2e9539ec07d
31,4e51994ed47f425989ab0f871cedd705
32,1ab659b6288d4dbb9b9f6f51eb0ed430
33,d1f38ecfcf234906b463e7ccfed2850f
34,0a5d38bf4e6440b9bc37a72e45812ce6
35,9c56b1d71be54f56bc3f28c23f28842b
36,d77ee80dea1c432da7612e0612a90830
37,1291528d48524a4eac18a854f87c4c0f
38,ad465bcbfee643febb9e82f569ce9a0d
39,4f427f933f454e78951eb67e3767788c
40,f4f9ca8074ef44cd8bc4df88ad366de8
41,bec595a85bd24e5cb9673dc005d3bcb1
42,52e0263e5e0b42fdb6f7307b9aaf578a
43,36f543dcc0564c28bfcc0d4fd474415e
44,609f2bc80104453c9cd0556a46bf2e96
45,d85a136f5b3c4bd998b2a11ca2582c77
46,b63aa63bffc44a0ca778d65aaa9a34b4
47,a75d40c4670341cfb7dc4c1b64ed8e43
48,0d2204b491984469a4fe0ce3fb2c2669
49,6c63d778f74f43fc9b0977ca53f27ccc
50,ea48790381fc4213bb411fad8dde19c1
51,fcbb7ba6f18440158894cd63fe9839ef
52,11a9351303c04392a035851d2d28a50a
53,22c7898e7cef403296c387188689bd73
54,8a2eaf606bb040c5b694265631b9d645
55,fab42fa11c5a4b59b5fdf18e9efa91ce
56,b9d9859ada0f48c7bef43bcdd908804d
57,9d85c6e839024ffda86028216eaaad9d
58,451c1e27eb694c44ad468563d67cd6a7
59,2c6db95344764203b2e7775ddc862718
60,d0d1f51310e3465cb71e4c4f5abb7425
61,4fbc5027efd344a6be4f8bbd4f9ae0e1
62,f01b974f0e474fde815c8b4175562dbf
63,6f0660811e8a4ac38d112c3ff4b6106e
64,c7f46b9f780d4bf2bc56166f3768bae0
65,3ca91d4a18b3464dbeee5b3dad8257ea
66,8e95eb41fad14a32b9c1ae6c395d409c
67,f1ad387f24ca4de399741b8106005113
68,0041a1b90c3f4281998156a24b2db159
69,f258e0bf4c7f440fbecb7b184a4b186e
70,dc8fb7c3f74e465799aa6ee72324df59
71,b781628827ea45649de7747b13f1efa1
72,00ccab01d46a4b7ea01a73fa6c2177e9
73,be0d8431f9114a98a8b563464c2a6178
74,58762fb43de94ef1a9fe319ee69fc393
75,9b5f1e253549409984f519de8f48edda
76,e48b5476e1fa44ffa8d9ec3fe4ec884b
77,0c2f2e1e76274282baffca8da294fef1
78,d5d6d99eb0964246bf404bc41819a398
79,79bc8c5ede6649e9a3bd91e28178670c
80,282f77856eb24a1ab36bf8388e7f1566
81,781c77b003614344862268a0cb92a806
82,9d1586a6f09a4196bb4b9d7eba5c2ed1
83,1bf1739da2de4693a78642bf17864821
84,3562550112d3458c851926e1569b8f0d
85,697eda064146400999e86f60068a66db
86,4ef07acd11754024ac4a5ac306447c36
87,b24895ba9431441ba8931e05b960c3c4
88,1549b39e75cb48c0ac6179b952ce2cac
89,9f4ad404e6cf479fb1ee8a9e6f98a659
90,a28456ecb2564c7991037b0e9445bf1b
91,0782f962d71d4a699a6932901ec5d3b6
92,dc6f2f03388d47d6818c2133e9410009
93,fef282b0c8184d59b81b73a88a252a61
94,09bbe5b4f33c427b889128a7ac4e8f20
95,522e68837b9146878d41171b60fca709
96,20aa9099b7434bab89c2d28aca8f6d59
97,a3fb5d941cd841469921197d710e332c
98,7c32268e13784898aa617d4a610edfb6
99,41d8e57372584efebba58549533c4e01
100,fab09257a18b42c9b9db7b1e59a6a02a
101,ed62ed7073c74c63926fd83d0cb8d17d
102,27b4f41677e244a88599a9517960b008
103,84a3f92f4254490e871c1297232df709
104,d8ec1d740a0145afb2b3b9dd5697dd82
105,fb6afbd4ed41465fb7edbe39eeb664bf
106,44c268031c4946fda5a053bc030d3540
107,be23c2bc3bf64b3dad70455466f4515d
108,0154d628e46e48718f2dd041457eaf1d
109,3b6d7a0fa26745229eeb31c678290e78
110,c69ee90a33934a3f890787e004cf9a73
111,4ab94a4ab1f940e780a62f4ce78fcaf9
112,d16517543409433f9d52ee37b8e824d0
113,b031a44f55cd442e8fb19ff738fcc4f3
114,564010236ba54264aa97331190365d7f
115,81adb5b8232a4bb489682623e3c724a6
116,bac3d12f5d4140ba98fefd265a090f5d
117,72ca53315bb948679a8cb6c1b378c045
118,14b9e4d7b3ae4c3099c9de4ad1e63a82
119,5514d34adfdf44a2a8290d93205604c5
120,12fe2503214a4349974170e316d6018f
121,9ba586c374524c6ba46e3410f036ea4f
122,0ed3399562994ee8828dc4d1d991f205
123,ad02b9b7429248a6a38621b33b30131d
124,9331135cdef04750bd8d0613b83d2c06
125,6e94c86899dd4bd3915e858f4be8562e
126,1c8c98640305459f9a37e34a2250a4ac
127,4e5a17b86e2949ceaf4eddff1dcedeb7
128,be0f5f742ea34c9abe9a2c649a9e3f98
129,28cbb87570e4445fa9563e6f4ecc66c2
130,08827ac16c1b4defae5049adcc13bd73
131,cebc574cd20746c68b93836dbb836a90
132,0c1c95a693d34c96a5d62f965794472f
133,d859075bbeca43c383a5ea772ea5afd4
134,a72542c395984dfda626c1ca7d6cf008
135,f61f3514b42248e3a6003f94c5f85341
136,e015022979b341038b456791494b8d83
137,055c792859944cbe88a337a0b479ebdd
138,8f7c1de65e11458da5065d2a75985f4c
139,48367c33ab65496cbf7139e8a6781f47
140,34faa8ea1b4b401c8892b99a954cd3a6
141,464a2bd529934741a1e874953010db42
142,00ecf4df2841488296900f9530fe4cc9
143,1c4473259fb24619838cefddb7724ad7
144,7e207d89221149cea3119de0f791268f
145,ba166b10886e47aaa331d97866ad7814
146,b3168301f0f14aa3ba513746a7a3bdd9
147,8e87fe1c594f4290ab69d04f4a7be3a7
148,7d328f45975145d79874beffb9570c97
149,707d48fe1beb40e2828f1afd3935a5b4
150,7a4e485f8f14441aa1958b65c2b6622f
151,0633b1f0b0ff40768c59b93637f42b36
152,15b920c35fa946e4abffa329b99f9950
153,e586ec01a2d9473a8466dbb1382c27fe
154,fb257a31435b44f78192cd71460584ee
155,f37cc177170a4129ad6657a07b20e0c5
156,193bdd71d8c84567b776af18e7fab92b
157,b044eefd4a7d41ed9623586f31c08f97
158,edc54b6ba6874d4280fbf59b6d473cb5
159,a99406b1a29c40db937d99bee62b9a50
160,bce0669f42f44d45be42c5234a009483
161,f233d40bf8d04372b8d3414ac813fd13
162,01b7ac5bbb2d41239fe938feebc3e8d3
163,f6b0e2afdbac4cb0913db2244db5a461
164,eab31dba2b2648afb1560d2ffe831080
165,5e07c2fc8c474928bf3ccfa37e50587e
166,7ea7a71b8bfb4fc5838787e7ebd5d22c
167,80885fe83dce46e585f4412883995923
168,0f65f7bc494741e0a495bca2f31f81dc
169,2e9f53060ae7439b853f011b01117102
170,78551e81b1554d8cbeb81a8f7efe7d00
171,6b234bf7445942599d5947106d2e7fb2
172,6e70a3cf53cd4c2a9023d1430b9b87e3
173,f4e15f56e13d4aa8a1ca08ae488e12b3
174,624ff63508174da6a538bd9ca976698d
175,ce8632f72b084b49a8dd83457315284c
176,93a73f74643d4da0a208e99e26f66f8a
177,b8b23e68c57c40a4b55a5ab5fd784a2f
178,cace6cd34f1d442893bac7e5c9b69124
179,06f46d49d8d7408da4bbf073a8ef7314
180,5e6d41f1dc8941e09a159e7208af8966
181,c5cf7af6d5474807a5f9e3c4ae7fdafb
182,dfccd254c04b42649079b5ea0847dc3b
183,5698ddc2f97f47b9acdcee2e8dd1cd54
184,614f864c839649bfa43cac0768c88bf0
